NUTS3,CODE
'NL224','4158
'NL224','4012
'NL224','4011
'NL224','4153
'NL415','5081
'NL225','7046
'NL131','9408
'NL32B','1102
'NL131','9402
'NL342','4401
'NL127','9298
'NL365','2441
'NL416','5472
'NL414','5724
'NL225','7048
'NL225','7044
'NL363','2191
'NL414','5722
'NL128','9012
'NL32B','1104
'NL361','2565
'NL414','5721
'NL224','4155
'NL127','9152
'NL131','9401
'NL224','4151
'NL127','9156
'NL361','2587
'NL32B','2441
'NL421','5866
'NL131','9407
'NL128','9014
'NL127','9011
'NL131','9405
'NL131','9409
'NL350','2421
'NL225','7047
'NL416','5471
'NL127','9155
'NL421','5865
'NL128','8761
'NL224','4152
'NL131','9422
'NL361','2582
'NL212','7434
'NL127','9172
'NL341','4541
'NL341','4543
'NL361','2584
'NL127','9294
'NL32B','1121
'NL364','2977
'NL127','9296
'NL366','3223
'NL213','7577
'NL361','2583
'NL225','7041
'NL328','1906
'NL365','2831
'NL361','2581
'NL421','5862
'NL127','9154
'NL361','2585
'NL341','4542
'NL127','9297
'NL421','5864
'NL131','9403
'NL364','2974
'NL114','9545
'NL212','7433
'NL422','6118
'NL366','3225
'NL230','8226
'NL212','7435
'NL127','9173
'NL422','6116
'NL127','9295
'NL127','9151
'NL212','7437
'NL115','9939
'NL127','9299
'NL225','7437
'NL421','5861
'NL225','7045
'NL127','9153
'NL366','3227
'NL221','7439
'NL421','5863
'NL114','9551
'NL364','3351
'NL321','1641
'NL350','3605
'NL350','1391
'NL115','9801
'NL132','7813
'NL321','1787
'NL114','9697
'NL211','8375
'NL32A','2035
'NL321','1784
'NL211','7951
'NL415','5066
'NL423','6243
'NL321','1786
'NL230','8231
'NL364','3352
'NL423','6245
'NL114','9944
'NL321','1788
'NL128','8624
'NL211','8377
'NL128','8629
'NL350','3602
'NL32A','2037
'NL321','1642
'NL230','8233
'NL321','1781
'NL350','3741
'NL414','5707
'NL415','5061
'NL114','9691
'NL133','7957
'NL224','5316
'NL224','5314
'NL350','3743
'NL213','7561
'NL350','3601
'NL114','9698
'NL211','8376
'NL114','9943
'NL132','7811
'NL114','9695
'NL321','1785
'NL211','7955
'NL114','9693
'NL211','8374
'NL321','1783
'NL230','8232
'NL128','8628
'NL411','4671
'NL32A','2036
'NL224','5311
'NL128','8625
'NL414','5709
'NL415','5063
'NL350','3742
'NL350','3603
'NL350','3744
'NL211','7954
'NL211','8378
'NL350','3749
'NL423','6241
'NL364','3353
'NL224','5318
'NL224','5315
'NL128','8627
'NL321','1782
'NL224','5317
'NL321','1789
'NL114','9942
'NL128','8626
'NL350','3761
'NL32A','2031
'NL32B','1108
'NL221','3886
'NL211','8371
'NL32A','2032
'NL128','8621
'NL32A','2034
'NL414','5708
'NL224','5313
'NL221','3888
'NL226','6651
'NL224','5331
'NL414','5706
'NL32B','1109
'NL32A','2033
'NL415','5062
'NL32B','1107
'NL128','8622
'NL414','5725
'NL211','8373
'NL128','8765
'NL128','8766
'NL128','8763
'NL224','4014
'NL226','6901
'NL226','6631
'NL224','4016
'NL414','5705
'NL226','6634
'NL415','5084
'NL128','8764
'NL224','5334
'NL128','8623
'NL416','5455
'NL211','8372
'NL221','3882
'NL32B','1105
'NL224','5333
'NL224','4013
'NL128','8762
'NL230','8219
'NL341','4537
'NL366','3218
'NL361','2574
'NL325','1508
'NL127','9142
'NL415','4287
'NL32B','1112
'NL366','3214
'NL325','1504
'NL422','6107
'NL415','4283
'NL341','4533
'NL361','2572
'NL325','1507
'NL32B','1111
'NL114','9679
'NL415','4285
'NL325','1506
'NL361','2571
'NL341','4535
'NL366','3216
'NL365','2821
'NL127','9288
'NL361','2573
'NL127','9285
'NL350','4141
'NL364','2968
'NL415','4281
'NL225','7031
'NL132','9535
'NL415','4284
'NL325','1501
'NL132','9531
'NL327','1398
'NL421','5991
'NL422','6104
'NL327','1251
'NL127','9283
'NL364','2969
'NL132','9533
'NL132','9536
'NL421','5995
'NL366','3211
'NL114','9677
'NL212','7423
'NL411','4926
'NL421','5993
'NL325','1503
'NL212','7425
'NL422','6109
'NL325','1505
'NL321','1647
'NL212','7427
'NL341','4532
'NL212','7424
'NL411','4927
'NL364','2967
'NL365','2825
'NL230','8218
'NL127','9286
'NL421','5853
'NL32B','1113
'NL421','5851
'NL127','9284
'NL212','7422
'NL132','9534
'NL327','1399
'NL212','7426
'NL342','4675
'NL127','9281
'NL423','6247
'NL364','3354
'NL327','1394
'NL411','4921
'NL364','3356
'NL325','1502
'NL115','9804
'NL321','1648
'NL132','7815
'NL422','6102
'NL366','3212
'NL341','4531
'NL422','6105
'NL350','1394
'NL212','7421
'NL114','9678
'NL350','3608
'NL133','7958
'NL422','6101
'NL364','2961
'NL364','3355
'NL350','3607
'NL321','1643
'NL350','1396
'NL364','2965
'NL128','8608
'NL132','7812
'NL114','9699
'NL321','1645
'NL115','9805
'NL350','1393
'NL230','8212
'NL213','7562
'NL132','7814
'NL364','2964
'NL114','9696
'NL411','4924
'NL350','3604
'NL328','1646
'NL350','3606
'NL327','1252
'NL342','4461
'NL127','9008
'NL422','6035
'NL213','7604
'NL411','4711
'NL32B','1432
'NL366','3142
'NL211','8361
'NL366','3141
'NL213','7495
'NL127','9003
'NL32B','1431
'NL366','3286
'NL32B','1181
'NL328','1827
'NL411','4854
'NL32B','1433
'NL213','7601
'NL328','1825
'NL415','5109
'NL366','3143
'NL415','5071
'NL224','4002
'NL328','1823
'NL416','5467
'NL328','1829
'NL32B','1183
'NL213','7602
'NL127','9006
'NL414','5715
'NL422','6031
'NL416','5465
'NL127','8895
'NL224','5321
'NL128','8751
'NL230','3894
'NL221','7351
'NL416','5466
'NL128','8753
'NL328','1826
'NL127','9007
'NL366','3144
'NL415','4855
'NL128','8754
'NL127','9004
'NL127','8899
'NL213','7496
'NL224','4003
'NL328','1824
'NL416','5464
'NL128','8752
'NL127','9005
'NL213','7497
'NL423','6176
'NL422','6034
'NL127','8897
'NL127','9001
'NL323','1967
'NL341','4536
'NL415','4286
'NL127','9145
'NL323','1963
'NL414','5711
'NL341','4538
'NL127','9147
'NL350','4142
'NL416','5463
'NL323','1969
'NL230','3892
'NL421','5855
'NL212','7429
'NL127','8891
'NL416','5461
'NL414','5712
'NL323','1965
'NL421','5854
'NL212','7428
'NL341','4539
'NL224','4001
'NL350','4143
'NL225','7036
'NL323','1964
'NL127','9144
'NL328','1821
'NL230','3891
'NL127','9141
'NL225','7038
